companyID,movieID,companyname
10201,161495,Interscope Communications
12883,161495,Nomura Babcock & Brown
14,3586,Miramax Films
38,110,Zespół Filmowy TOR
183,110,Le Studio Canal+
591,110,France 3 Cinéma
1245,110,Télévision Suisse-Romande
591,108,France 3 Cinéma
1610,108,CED Productions
183,109,Le Studio Canal+
591,109,France 3 Cinéma
850,109,Eurimages
4899,92769,Allegro Films
16953,92769,Norstar Entertainment
24946,92769,west wind entertainment
4,28033,Paramount Pictures
4108,22586,Rich Animation Studios
29272,14334,Jones Entertainment Group
29273,14334,Skerry Productions
2596,2636,Jerry Weintraub Productions
6194,2636,Warner Bros.
11134,2636,Iguana Producciones
347,2164,Centropolis Entertainment
694,2164,StudioCanal
10320,2164,Carolco Entertainment
2,11395,Walt Disney Pictures
915,11395,Hollywood Pictures
97,278,Castle Rock Entertainment
6194,278,Warner Bros.
181,9905,Channel Four Films
359,9905,Figment Films
980,9905,The Glasgow Film Fund
1382,9905,PolyGram Filmed Entertainment
78701,87078,Kino Korsakoff
14,12527,Miramax Films
6647,12527,Tabasco films
8861,12527,Instituto Mexicano de Cinematografía (IMCINE)
10015,12527,TeleMadrid
2832,20306,Cineville
4063,20306,Trimark Pictures
798,36614,Samuel Goldwyn Company
12,27993,New Line Cinema
4733,27993,1992 Number Four Limited Partnership
4734,27993,MHA
1078,31439,Shanghai Film Studios
25299,31439,Era International Ltd
2231,9067,Trilogy Entertainment Group
33,9059,Universal Pictures
69626,9059,Tales From The Crypt Holdings
4,193,Paramount Pictures
4319,25066,40 Acres & A Mule Filmworks
11308,25066,Savoy Pictures
33,12122,Universal Pictures
4,11381,Paramount Pictures
58,32636,Sony Pictures Classics
14729,36141,Populist Pictures
11308,95963,Savoy Pictures
23808,95963,Price Entertainment
37350,95963,"Jackson/McHenry Company,The"
4,1587,Paramount Pictures
4,9271,Paramount Pictures
175,2064,Caravan Pictures
915,2064,Hollywood Pictures
33,19855,Universal Pictures
8,60855,Fine Line Features
806,60855,Téléfilm Canada
4908,60855,First Generation Films
17027,60855,National Film Board of Canada (NFB)
36024,60855,British Columbia Film Commission
105,236,Ciby 2000
11840,236,Film Victoria
39250,236,House & Moorhouse Films
441,48287,Columbia Pictures Corporation
10157,48287,Beacon Pictures
6194,3049,Warner Bros.
10210,3049,Morgan Creek Productions
1382,2759,PolyGram Filmed Entertainment
37,12635,Gramercy Pictures
8,10497,Fine Line Features
355,10497,R.P. Productions
441,10497,Columbia Pictures Corporation
635,10497,Les Films Alain Sarde
5358,10497,Canal+
8131,10497,Timothy Burrill Productions
14,11382,Miramax Films
4,9331,Paramount Pictures
2767,9331,Mace Neufeld Productions
508,10731,Regency Enterprises
644,10731,Alcor Films
6194,10731,Warner Bros.
12,10464,New Line Cinema
33,34152,Universal Pictures
